message_id,message_text,label,message_type,channel,language,locale,scam_keywords,confidence_score,scam_subtype,link_present,urgency_level
1,OTP for login is 750941. Do not share.,legitimate,Legitimate,Email,English,IN,,0.03,None,0,None
2,Paytm wallet kholne ke liye OTP 735484 bata.,scam,OTP_Request,SMS,Hinglish,IN,"prize,claim",0.82,OTP_Request,0,Medium
3,Happy Birthday bhai! Party kab de raha hai?,legitimate,Legitimate,SMS,Hinglish,IN,,0.01,None,0,None
4,Reply with your OTP to confirm the transaction.,scam,Data_Request,Email,English,IN,"prize,claim",0.95,Data_Request,0,Medium
5,आपका गूगल खाता 24 घंटों में हटा दिया जाएगा।,scam,Urgent_Threat,SMS,Hindi,IN,"prize,claim",0.86,Urgent_Threat,0,Critical
6,Phone slow hai? Cleaner daal: http://google-play-update.com?id=9876,scam,Malware,SMS,Hinglish,IN,"prize,claim",0.96,Malware,1,Critical
7,Please find attached the invoice for your recent purchase.,legitimate,Legitimate,SMS,English,IN,,0.04,None,0,None
8,Google Pay: कैशबैक प्राप्त करने के लिए ओटीपी 646870 दर्ज करें।,scam,OTP_Request,SMS,Hindi,IN,"prize,claim",0.94,OTP_Request,0,Critical
9,Your Aadhaar card is suspended. Verify now: http://instagram-verify-secure.com?token=15754,scam,Government,Email,English,IN,"urgent,verify,account",0.79,Government,1,Medium
10,Amazon Prime: Payment fail ho gaya. Card change kar: http://bank-secure-verify.com?token=79060,scam,Subscription,SMS,Hinglish,IN,"urgent,verify,account",0.81,Subscription,1,Medium
11,Thank you for your feedback!,legitimate,Legitimate,Email,English,IN,,0.04,None,0,None
12,Virus detected on your device! Download security tool: http://bit.ly/urgent-verify?token=84188,scam,Malware,SMS,English,IN,"urgent,verify,account",0.8,Malware,1,Critical
13,"Bhai, aaj shaam ko mil rahe hain kya?",legitimate,Legitimate,SMS,Hinglish,IN,,0.05,None,0,None
14,जन्मदिन मुबारक हो! आशा है आपका दिन मंगलमय हो।,legitimate,Legitimate,SMS,Hindi,IN,,0.05,None,0,None
15,Last warning: Pay your bills or face legal action.,scam,Urgent_Threat,SMS,English,IN,"prize,claim",0.86,Urgent_Threat,0,High
16,PAN-Aadhaar link nahi hai. Jaldi kar: http://amazon-prime-renew.com?id=5094,scam,Government,Email,Hinglish,IN,"prize,claim",0.92,Government,1,High
17,अनुस्मारक: कल सुबह 10 बजे दंत चिकित्सक की नियुक्ति।,legitimate,Legitimate,SMS,Hindi,IN,,0.04,None,0,None
18,इस महीने का आपका विवरण तैयार है।,legitimate,Legitimate,SMS,Hindi,IN,,0.03,None,0,None
19,Feedback ke liye dhanyavad.,legitimate,Legitimate,SMS,Hinglish,IN,,0.06,None,0,None
20,Reminder: Dentist appointment tomorrow at 10 AM.,legitimate,Legitimate,Email,English,IN,,0.04,None,0,None
21,Paytm: अपना बटुआ अनब्लॉक करने के लिए ओटीपी 126445 साझा करें।,scam,OTP_Request,Email,Hindi,IN,"prize,claim",0.9,OTP_Request,0,Critical
22,Your account has been compromised. Click the link to verify: http://hdfc-secure.in?token=43181,scam,Phishing,Email,English,IN,"urgent,verify,account",0.94,Phishing,1,Critical
23,Feedback ke liye dhanyavad.,legitimate,Legitimate,Email,Hinglish,IN,,0.06,None,0,None
24,लॉगिन के लिए ओटीपी 780777 है। साझा न करें।,legitimate,Legitimate,Email,Hindi,IN,,0.02,None,0,None
25,Thank you for your feedback!,legitimate,Legitimate,Email,English,IN,,0.03,None,0,None
26,Meeting agenda updated. Check email.,legitimate,Legitimate,Email,English,IN,,0.02,None,0,None
27,इस महीने का आपका विवरण तैयार है।,legitimate,Legitimate,Email,Hindi,IN,,0.03,None,0,None
28,Google Pay: कैशबैक प्राप्त करने के लिए ओटीपी 879789 दर्ज करें।,scam,OTP_Request,SMS,Hindi,IN,"prize,claim",0.94,OTP_Request,0,High
29,लॉगिन के लिए ओटीपी 572875 है। साझा न करें।,legitimate,Legitimate,Email,Hindi,IN,,0.02,None,0,None
30,Your statement for January is generated.,legitimate,Legitimate,SMS,English,IN,,0.06,None,0,None
